Problem ATSP/ftv33.atsp:
G runs for 200 runs:
4577 1792
4627 1484
4529 1962
4481 1608
3992 1749
4206 1927
4396 1565
4970 1617
4742 1699
4338 1864
4431 1567
4842 1498
4516 1751
4515 1972
4135 1929
4739 1865
4487 1960
4307 1718
4282 1959
4580 2080
4317 1974
3835 1841
4400 1713
4166 1888
4349 1847
4240 1737
4452 1749
4345 1789
4424 1585
4197 2187
4662 1700
4013 1878
4464 1540
4068 1716
4677 1791
4458 1927
4570 2043
4048 1860
4362 2079
4357 1811
4549 1971
3995 1788
4503 1956
4534 1631
4022 2092
4422 1697
4336 1541
4304 1647
4674 1781
4197 1976
4266 1688
4414 1781
4490 2234
3891 1655
4634 1802
4803 2016
4220 1820
4210 2048
4271 1648
4301 1859
4055 1769
4927 1673
4937 1616
4902 1598
3795 1672
4400 1797
4507 1945
4874 1611
4265 1716
4313 1737
3999 1595
4372 2147
5094 1666
4715 1559
4272 1740
4447 1573
4374 1847
4794 1759
4144 1615
4685 1563
4445 1820
4426 1725
4327 1738
5012 1966
4361 1678
4525 1788
4190 1908
4299 1843
4390 1990
4576 1727
4569 1647
4193 1802
4060 1745
4764 1664
4241 1891
4625 1683
4693 2228
4381 1713
4201 1802
4280 1781
4433 2081
4475 1863
4572 1746
4226 1710
4501 1911
4057 2006
3978 1465
4284 1580
4746 1871
4636 1551
4626 1703
4616 1640
4358 1789
4339 1749
4405 1654
4660 1737
4194 1603
4033 1826
4859 1679
3999 1754
3983 1854
4652 1421
4757 1759
4727 1733
4635 1921
4317 1651
4298 1873
4523 2051
4575 1867
4474 1610
3814 1847
4137 1996
3565 1813
4216 1726
4229 1963
4595 1790
3980 1791
4271 1869
4757 1846
5198 2053
4831 1688
4607 1833
4202 1896
4460 1740
4154 1909
4470 1547
4576 1983
4371 1630
4452 1866
4728 1588
4351 1955
4506 1564
4931 1813
4762 1798
4105 1808
4646 1955
4472 2019
4397 2133
4511 1801
3977 1656
4854 2335
4465 1509
4487 1408
4343 1968
4477 1982
4631 1945
4822 1607
4652 1899
4406 1670
4196 1702
4107 1801
4011 1953
4538 2243
4524 1810
4433 1525
4008 1911
4349 1797
4688 1906
4344 1809
4267 1749
4452 1777
4924 1344
4070 1683
4634 1822
3860 1701
4396 1596
4754 2237
4227 1652
3907 1515
4182 1623
4721 1953
4611 1912
4100 1705
4322 1761
4139 1887
4302 1696
4364 1778
4489 1804
4280 1610
4451 1870

S runs for 200 runs:
4391 2104
4865 1890
4293 2076
4922 2160
4468 1909
4468 1875
4242 1947
4816 2097
4092 1867
4365 1829
4210 2014
4514 1679
4533 1750
4529 2010
4601 2221
4457 1806
4178 1950
4531 2032
4617 1950
3832 1794
4665 2324
4075 1623
4604 2233
4141 2072
4701 1705
4334 1913
4204 1845
4672 1874
4298 1848
4385 1748
4098 1795
4480 1702
4286 1977
4175 1846
4188 1974
4243 1572
5063 2100
4405 1884
4342 2122
4505 1731
4111 1772
4463 1817
3880 1813
4276 1900
4475 2076
4531 1846
4590 1962
4336 1853
4204 2286
4579 1662
4547 1861
4348 1872
4299 2155
4383 2042
4473 1722
4707 1834
4592 1912
4340 2050
4112 1880
4039 2308
4239 1843
4243 2314
4281 2111
4663 2005
4483 2070
4497 1525
4676 2366
4566 1973
4413 1766
4388 1686
4618 1911
4445 1726
4510 2286
4243 1848
4878 2338
4209 2183
4684 1850
4595 1991
4209 2069
4445 2170
4179 1907
4681 1975
4003 2046
4594 1973
3893 1744
4365 2025
4755 2033
3982 2067
4446 1875
4524 2070
4179 1792
4227 1574
4116 1741
3957 1719
4017 1956
4751 1614
4402 1911
4205 1706
4040 1884
4237 1869
4168 2263
4374 1841
4546 1753
4386 1936
4476 2154
4752 1445
4247 1823
4473 1707
4319 1761
4255 2227
4235 1952
4548 2239
4139 1954
3973 1983
4451 1610
4165 1885
4205 1863
4420 2033
4656 2040
4701 2133
4403 1710
4088 1913
4128 2444
4333 2008
4333 1947
4632 1974
4139 1751
4232 2153
4241 1969
4157 2334
4282 2106
4354 1766
3962 1960
4363 1462
4156 1961
4170 1981
4261 1939
4474 1712
4138 2039
4016 1967
4470 1966
3818 1620
4410 1708
4546 2040
4564 2011
4522 1798
4227 2337
4025 1676
4197 1788
4327 1659
4291 1889
4122 1779
4179 2024
3731 1779
4301 1708
4424 1791
4174 2132
4187 2239
4134 2410
4675 2141
4159 2100
4339 2429
4406 2033
4029 2308
4477 1624
4402 2304
4242 1971
4377 1857
4286 2139
4647 1779
4191 1882
4532 1611
4632 1890
4978 2232
4517 1696
4331 1959
4356 2152
4164 1641
4425 1800
4372 1874
4440 1867
4359 2050
4888 1950
4315 1935
4162 2062
4661 1860
4153 1826
4111 2298
4189 1894
4022 1864
4432 1933
4104 1802
4401 2145
4793 1974
4409 1994
4423 2134
4407 1908
4364 1921
4248 1992
4351 1892

Problem ATSP/ftv38.atsp:
G runs for 200 runs:
5113 2563
5267 2440
5390 2408
5196 2184
5483 2294
4616 2242
5703 2216
5154 2631
5161 2166
5395 2756
4673 2262
5184 2124
5376 2453
5623 1900
5115 2254
5012 2484
5323 1979
4538 2012
5027 2118
5130 1945
4592 2177
5347 2429
5045 1927
5556 2306
5298 2186
5053 2387
4836 1859
4946 2326
4778 1907
5698 2299
5258 2229
5562 2125
4800 1975
5396 2069
5854 2299
4741 2006
5741 2417
5097 2367
5140 2240
4905 2063
4881 1991
5092 2296
5304 2064
5256 2660
5199 2159
5040 2293
4490 2245
4853 2088
4845 2114
4727 2206
5081 2163
5351 2040
4847 2139
5515 2172
5259 2057
5517 2020
5192 2396
5035 1894
4741 2412
4978 1898
4993 2161
5503 1993
4753 1985
5088 2285
4823 2807
5114 2526
5439 2093
5251 2558
5192 2164
5542 2595
5552 1908
4846 2040
5134 2050
5711 2463
5389 2197
5399 2384
5030 2469
5606 2108
4547 1930
4475 2231
5217 1902
5476 1969
5653 1948
5256 2712
5316 2001
5622 2102
5094 2152
5037 2055
5121 2196
4988 2075
5264 2074
5096 2325
5131 2126
5004 2259
4734 2208
5185 2473
4829 2363
5033 2321
5150 2165
5150 1867
5600 2099
5690 2103
5165 2505
5102 2293
4652 1996
5106 2117
5462 2174
4940 2218
4996 2067
4971 2162
5212 2629
5255 1845
4903 2520
5618 2461
5270 2216
5081 1895
5081 1849
4820 2523
4927 1992
5589 2159
5367 2207
5505 2227
5541 2003
5223 2505
4903 2263
5190 2385
5320 2136
4865 2257
5021 2615
5351 2289
5498 2081
4688 2506
5144 2149
5345 1945
5450 2134
5175 2009
5202 2180
4972 2396
5295 2170
4992 1930
4953 2116
5517 2267
4990 2228
4935 2156
5106 2532
5530 1913
5070 2525
5124 2240
4687 2253
5031 2129
5228 1913
5081 2038
5231 2372
5432 2049
5114 2139
5547 2298
4949 2118
5792 1963
4857 2018
5065 2088
5380 2269
4556 1969
4882 2197
5108 2447
5167 2090
4874 2441
5167 2249
5169 2077
5401 2171
5140 1982
5403 2533
5314 2002
5639 2165
5048 2051
5253 2213
5282 2333
4530 2142
5495 2583
5216 2188
5081 2653
5446 2196
5055 1907
5171 2123
4944 2130
5086 2184
5321 2232
5213 2088
5177 2425
5563 2033
5261 2052
5116 2310
5983 2297
5411 2020
5578 2170
5272 1886
5376 2072
5124 2104
5365 2026
5161 1771
5006 2509

S runs for 200 runs:
5247 2252
4828 3288
4904 2243
5318 2442
5335 2472
5260 2723
5371 2612
4614 1894
5132 2323
4883 1774
5022 2161
5614 2527
5113 2657
5535 2312
5087 2081
4751 2759
4770 2358
4881 2203
4705 2515
4870 2344
5468 2612
5647 2594
5428 2780
5274 2346
5066 2309
4849 2220
5307 2321
4598 2379
4868 2382
4718 2504
5539 2585
5112 2661
5335 2701
5345 2814
5160 2402
5399 2728
5306 2427
5185 2412
5334 2617
5418 2270
5372 2430
4931 2367
5077 2321
5225 2788
5083 2806
4957 2582
4738 1752
5069 2654
5557 2822
5216 2823
4679 2291
