Problem ATSP/ftv33.atsp:
G runs for 50 runs:
4577 1792
4627 1484
4529 1962
4481 1608
3992 1749
4206 1927
4396 1565
4970 1617
4742 1699
4338 1864
4431 1567
4842 1498
4516 1751
4515 1972
4135 1929
4739 1865
4487 1960
4307 1718
4282 1959
4580 2080
4317 1974
3835 1841
4400 1713
4166 1888
4349 1847
4240 1737
4452 1749
4345 1789
4424 1585
4197 2187
4662 1700
4013 1878
4464 1540
4068 1716
4677 1791
4458 1927
4570 2043
4048 1860
4362 2079
4357 1811
4549 1971
3995 1788
4503 1956
4534 1631
4022 2092
4422 1697
4336 1541
4304 1647
4674 1781
4197 1976

S runs for 50 runs:
4266 1837
3849 2202
4466 1884
4271 2273
4369 2064
4414 1998
4683 1822
4665 1951
4228 1671
4234 1842
4216 1777
4726 2176
4859 1489
4146 1844
4525 1921
4540 1623
4155 2063
4280 1718
4623 2175
4210 1931
4593 1849
5016 1748
4289 1797
4499 2040
4301 1722
4133 1883
4967 2106
4100 2136
4376 2209
4131 1702
4595 1729
4370 1959
4863 2121
4649 1859
4368 2112
4247 2100
4496 1798
4670 1839
4477 2344
5006 1913
4290 1784
4658 2156
4061 1918
4444 2074
4370 2445
4309 1833
4281 2047
4694 1734
4222 1728
4129 1717

Problem ATSP/ftv38.atsp:
G runs for 50 runs:
5490 2163
4934 1982
5623 2516
5539 2071
5077 2031
4576 1906
5405 2224
5114 2026
5413 2004
5008 2003
5194 2033
5239 1669
5237 2200
5070 2119
5804 2344
5343 2133
4194 2109
5321 2553
5039 2251
5624 2017
5137 2258
5308 2202
5071 2085
5354 2532
5370 1963
5629 2082
5294 2044
4810 1959
4807 2001
5983 2228
5240 2699
5319 2334
5306 2112
5537 1990
5255 2118
5260 2110
5089 2102
5115 2307
4990 2066
5510 2328
5515 2211
5537 2043
5297 2290
5276 2133
4846 2260
5239 2369
5214 2252
5116 2559
5177 2367
5557 2019

S runs for 50 runs:
4723 2183
5023 2263
5015 2282
4829 2353
5314 2555
5429 2092
5716 2255
5248 2776
5132 2166
4249 2391
5332 2372
5441 3150
5142 2557
5176 2266
5334 1826
5092 2062
5334 2401
5027 2564
5041 2215
5014 2725
5278 2137
5731 2025
5168 2461
5017 2467
5363 2274
4828 2209
4769 2300
4931 2115
5376 2194
4944 2027
5117 2525
5108 2156
4907 2461
5614 2375
5535 2777
5121 2610
5614 2764
5113 2157
5588 2153
5311 2192
5548 2317
5297 2607
4831 2373
5506 2598
4782 2549
5198 2444
4718 2756
4867 2340
5213 2362
5681 2287

Problem ATSP/ft53.atsp:
G runs for 50 runs:
27683 10668
25912 12097
26509 11439
25768 11582
25730 12904
27033 14380
25337 12496
26173 11176
26344 10615
27185 12788
26379 13652
27022 13300
26252 10857
26051 12001
26668 12019
28127 12080
24503 9956
26219 11937
24429 11579
26910 11684
26695 10757
25214 11747
27548 12276
25719 11988
26012 11475
26913 11695
26118 12661
24454 13171
24754 11302
26492 12642
23708 12938
26995 15726
24605 11410
26992 11177
26550 13538
26614 11818
27487 11882
26712 10939
26331 12156
27322 13217
27538 11540
24685 12288
26532 11161
28097 14199
27721 13429
27300 11854
28459 10722
25702 12739
25827 12617
25871 11919

S runs for 50 runs:
24927 13800
25882 16361
25778 14747
26467 12866
28561 14131
25915 15486
25628 13358
24941 12623
23248 12998
24475 13892
26129 14848
26865 14097
26363 14276
25425 13797
25695 13320
26409 13931
26310 13706
24665 13303
24052 12764
25478 13236
25151 14471
26335 14284
25767 13280
25981 13608
26813 14815
26838 14471
26223 14803
26443 14994
25594 12740
23573 12365
26477 14642
25085 12821
26235 14734
25914 14879
27166 14083
26295 15082
26532 13603
26426 13178
26443 13001
26377 14537
24942 13427
25479 12684
26203 13344
26807 13198
25110 12416
24276 14883
23678 12459
24698 14985
24456 12358
27896 13650

Problem ATSP/ftv55.atsp:
G runs for 50 runs:
7257 2542
8177 2808
7612 2722
7550 2692
8009 2823
6733 2894
7122 2986
7742 2366
6751 2920
7766 2592
7646 2735
7019 3335
7406 2866
7728 2921
7843 2796
6780 2867
6937 2998
7210 3130
7628 3076
7431 2980
6845 2785
6992 2892
7850 2884
7244 2489
6979 2910
7136 2485
7126 3576
7898 2982
7112 2680
7100 2674
7038 3210
7471 2533
7564 3480
6957 2865
7283 2743
6776 2802
6922 2953
7617 2411
8044 3152
7416 2966
7315 2761
6920 3050
6610 2775
6965 2531
7215 2795
7140 2816
8008 2854
7336 3249
6995 2991
7964 2981

S runs for 50 runs:
7137 3089
6928 3223
7167 3734
7478 3145
7284 3534
7124 2921
6911 3831
7413 3566
7745 3601
7008 3201
7050 2956
7980 3494
7715 3449
7507 2917
7378 3234
7263 3085
7319 3407
7374 3435
6970 3454
7043 3487
7679 3558
7639 2983
7383 3417
8064 3258
7096 3407
6963 3762
7320 3268
7885 3057
7609 3042
7520 2893
7823 3388
7337 3032
7199 3346
7168 2913
7067 3394
7280 3204
6920 3192
7149 3149
7354 3679
7609 3758
7395 3431
7542 2904
7799 3490
7694 3573
7823 3172
7026 3001
7719 3100
7206 2949
7445 3366
7925 3214

